keyword,keyword2,image,date,event
supernatural,locked bathroom,images/bathroom.jpg,1960s,Albert Dekker was hung in his apartment bathroom. There were needles in his arms and explicit language written all over his body with lipsticks. The bathroom was locked inside and there was no other exits.
supernatural,boy in red,,2009,Zhijun Kuang a 13-year-old boy was found hung in his own house. He wore a red dress and being tightened by rope in a very professional way but the murderer wasn't found.
supernatural,the vanishing crew,,1960s,"A group of young women and men were forced to join ""The Family"" crew. Five people were mysteriously murdered including director Roman Polanski's pregnant wife Sharon Tate."
supernatural,"""bloodless""",,1969,Betsy Aardsma was stabbed in the chest in the library but there is so little blood that her body didn't catch attention for a long period of time.
conspiracy,medical murder,,1980s,Donald Harvey took patients off life support or put cyanide or arsenic in their IV drips. It caused 87 people die.
conspiracy,medical murder,,1900s,A doctor digged out corpses and injected toxic substance into patients. for medical study becasue of the shortage of bodies to dissect.
conspiracy,medical murder,,1857,A nurse experimented different illegal medicines on her patients and sexually assaulted them when they were in struggle.
conspiracy,vanishing ladder,images/house.gif,1945,The Sodder family's house was on fire. It was first thought as an accident but later discovered that the family's phone line had been cut and the ladder was discarded.
conspiracy,medical murder,images/medicine.gif,1982,A 12-year-old boy died after taking Tylenol for her cold. It turned out that the bottle of Tylenol was once purchased by someone else and returned poisoned.
conspiracy,serial imposter,,1994,Nicholas Barclay was kidnapped after playing basketball in the neighborhood. Someone claimed that he was Barclay three years later but then proved that he was not Barclay but a serial imposter.
murder helper,,,2011,Hao Li abducted and kept six women in the basement of his home. Some of the women eventually had a weird affection towards him and helped him to kill the ones that were trying to rebel.
murder helper,,,1990,Wenge Jia killed 20 people in a year. The 21st one he planned to kill fell in love with him and helped him with murdering.
stuffed body,rubber ball,images/rubberball.jpg,2014,A head that later identified to belong to an old woman was found in Pennsylvania with rubber balls in the eye sockets.
stuffed body,sexual organ,,1986,Ten women were raped and killed. There were random objected being stuffed in their sexual organ. The oldest was 71 and the youngest was 13.
coincidence,"""Marry Morris""",,2000,Two women who both named Marry Morris was found dead in their cars and killed in similar manners.
coincidence,February 9 killer,images/feb9.png,2006,On the same day in 2006 and 2008 the same criminal murdered one Hispanic woman on each day.
